"","barcode","LENGTH_KB"
"TCGA-C8-A12Q","TCGA-C8-A12Q",1169248.555
"TCGA-C8-A12T","TCGA-C8-A12T",670075.79
"TCGA-C8-A12U","TCGA-C8-A12U",1542727.868
"TCGA-C8-A12V","TCGA-C8-A12V",7845.271
"TCGA-C8-A12W","TCGA-C8-A12W",1001677.7
"TCGA-C8-A12X","TCGA-C8-A12X",860939.301
"TCGA-C8-A12Z","TCGA-C8-A12Z",768236.465
"TCGA-C8-A130","TCGA-C8-A130",1458749.718
"TCGA-C8-A131","TCGA-C8-A131",667452.074
"TCGA-C8-A132","TCGA-C8-A132",430193.272
"TCGA-C8-A133","TCGA-C8-A133",15417.77
"TCGA-C8-A134","TCGA-C8-A134",1277835.822
"TCGA-C8-A135","TCGA-C8-A135",863554.932
"TCGA-C8-A137","TCGA-C8-A137",639801.946
"TCGA-C8-A138","TCGA-C8-A138",1026020.234
"TCGA-C8-A1HE","TCGA-C8-A1HE",336571.999
"TCGA-C8-A1HF","TCGA-C8-A1HF",712278.863
"TCGA-C8-A1HG","TCGA-C8-A1HG",1031454.497
"TCGA-C8-A1HI","TCGA-C8-A1HI",734446.034
"TCGA-C8-A1HJ","TCGA-C8-A1HJ",1465618.048
"TCGA-C8-A1HK","TCGA-C8-A1HK",1459957.737
"TCGA-C8-A1HL","TCGA-C8-A1HL",678698.739
"TCGA-C8-A1HM","TCGA-C8-A1HM",1464751.112
"TCGA-C8-A1HN","TCGA-C8-A1HN",1238116.634
"TCGA-C8-A1HO","TCGA-C8-A1HO",925989.687
"TCGA-C8-A26V","TCGA-C8-A26V",529292.272
"TCGA-C8-A26W","TCGA-C8-A26W",931536.222
"TCGA-C8-A26X","TCGA-C8-A26X",1029158.778
"TCGA-C8-A26Y","TCGA-C8-A26Y",1675665.623
"TCGA-C8-A26Z","TCGA-C8-A26Z",1514996.03
"TCGA-C8-A273","TCGA-C8-A273",647159.121
"TCGA-C8-A274","TCGA-C8-A274",1196785.522
"TCGA-C8-A278","TCGA-C8-A278",479258.037
"TCGA-C8-A27A","TCGA-C8-A27A",865528.028
"TCGA-C8-A27B","TCGA-C8-A27B",2103831.637
"TCGA-C8-A3M7","TCGA-C8-A3M7",514078.018
"TCGA-C8-A3M8","TCGA-C8-A3M8",720628.331
"TCGA-D8-A13Y","TCGA-D8-A13Y",2690864.574
"TCGA-D8-A13Z","TCGA-D8-A13Z",1433768.958
"TCGA-D8-A140","TCGA-D8-A140",663333.539
"TCGA-D8-A141","TCGA-D8-A141",140805.637
"TCGA-D8-A142","TCGA-D8-A142",1490959.565
"TCGA-D8-A143","TCGA-D8-A143",1529412.914
"TCGA-D8-A145","TCGA-D8-A145",244098.807
"TCGA-D8-A147","TCGA-D8-A147",1651906.453
"TCGA-D8-A1J8","TCGA-D8-A1J8",2601706.763
"TCGA-D8-A1J9","TCGA-D8-A1J9",1013170.719
"TCGA-D8-A1JA","TCGA-D8-A1JA",700975.567
"TCGA-D8-A1JB","TCGA-D8-A1JB",98097.313
"TCGA-D8-A1JC","TCGA-D8-A1JC",1035776.326
"TCGA-D8-A1JD","TCGA-D8-A1JD",1353001.379
"TCGA-D8-A1JE","TCGA-D8-A1JE",1754394.212
"TCGA-D8-A1JF","TCGA-D8-A1JF",1197676.527
"TCGA-D8-A1JG","TCGA-D8-A1JG",777883.948
"TCGA-D8-A1JH","TCGA-D8-A1JH",139.045
"TCGA-D8-A1JI","TCGA-D8-A1JI",1111899.416
"TCGA-D8-A1JJ","TCGA-D8-A1JJ",1250592.711
"TCGA-D8-A1JK","TCGA-D8-A1JK",1409862.449
"TCGA-D8-A1JL","TCGA-D8-A1JL",1049629.027
"TCGA-D8-A1JN","TCGA-D8-A1JN",361065.798
"TCGA-D8-A1JP","TCGA-D8-A1JP",1220137.176
"TCGA-D8-A1JS","TCGA-D8-A1JS",176958.6
"TCGA-D8-A1JT","TCGA-D8-A1JT",1189425.044
"TCGA-D8-A1JU","TCGA-D8-A1JU",300523.02
"TCGA-D8-A1X5","TCGA-D8-A1X5",1823731.831
"TCGA-D8-A1X6","TCGA-D8-A1X6",1050498.277
"TCGA-D8-A1X7","TCGA-D8-A1X7",245115.366
"TCGA-D8-A1X9","TCGA-D8-A1X9",816872.295
"TCGA-D8-A1XA","TCGA-D8-A1XA",2491283.991
"TCGA-D8-A1XB","TCGA-D8-A1XB",620100.931
"TCGA-D8-A1XC","TCGA-D8-A1XC",163419.697
"TCGA-D8-A1XF","TCGA-D8-A1XF",1926011.272
"TCGA-D8-A1XG","TCGA-D8-A1XG",440535.089
"TCGA-D8-A1XJ","TCGA-D8-A1XJ",1017554.209
"TCGA-D8-A1XK","TCGA-D8-A1XK",1837530.872
"TCGA-D8-A1XL","TCGA-D8-A1XL",1542113.185
"TCGA-D8-A1XM","TCGA-D8-A1XM",483466.803
"TCGA-D8-A1XO","TCGA-D8-A1XO",670706.926
"TCGA-D8-A1XQ","TCGA-D8-A1XQ",971934.185
"TCGA-D8-A1XR","TCGA-D8-A1XR",620744.839
"TCGA-D8-A1XT","TCGA-D8-A1XT",1138744.184
"TCGA-D8-A1XU","TCGA-D8-A1XU",2712676.56
"TCGA-D8-A1XV","TCGA-D8-A1XV",99194.692
"TCGA-D8-A1XW","TCGA-D8-A1XW",1087884.085
"TCGA-D8-A1XY","TCGA-D8-A1XY",909795.946
"TCGA-D8-A1XZ","TCGA-D8-A1XZ",1019777.987
"TCGA-D8-A1Y0","TCGA-D8-A1Y0",1113635.264
"TCGA-D8-A1Y1","TCGA-D8-A1Y1",1523547.495
"TCGA-D8-A1Y2","TCGA-D8-A1Y2",897753.446
"TCGA-D8-A1Y3","TCGA-D8-A1Y3",1740181.55
"TCGA-D8-A27E","TCGA-D8-A27E",382.629
"TCGA-D8-A27F","TCGA-D8-A27F",1942286.865
"TCGA-D8-A27G","TCGA-D8-A27G",314534.61
"TCGA-D8-A27H","TCGA-D8-A27H",1393106.072
"TCGA-D8-A27I","TCGA-D8-A27I",131485.149
"TCGA-D8-A27K","TCGA-D8-A27K",329703.654
"TCGA-D8-A27L","TCGA-D8-A27L",322531.499
"TCGA-D8-A27M","TCGA-D8-A27M",864470.578
"TCGA-D8-A27N","TCGA-D8-A27N",729139.075
"TCGA-D8-A27P","TCGA-D8-A27P",140826.086
"TCGA-D8-A27R","TCGA-D8-A27R",1026391.698
"TCGA-D8-A27T","TCGA-D8-A27T",552812.916
"TCGA-D8-A27V","TCGA-D8-A27V",1082443.943
"TCGA-D8-A27W","TCGA-D8-A27W",1287635.027
"TCGA-D8-A3Z5","TCGA-D8-A3Z5",361553.425
"TCGA-D8-A3Z6","TCGA-D8-A3Z6",750483.081
"TCGA-D8-A4Z1","TCGA-D8-A4Z1",9058.515
"TCGA-E2-A10A","TCGA-E2-A10A",600592.343
"TCGA-E2-A14N","TCGA-E2-A14N",245183.273
"TCGA-E2-A14O","TCGA-E2-A14O",2100681.213
"TCGA-E2-A14P","TCGA-E2-A14P",778967.662
"TCGA-E2-A14Q","TCGA-E2-A14Q",524589.475
"TCGA-E2-A14R","TCGA-E2-A14R",2016924.314
"TCGA-E2-A14S","TCGA-E2-A14S",722134.666
"TCGA-E2-A14T","TCGA-E2-A14T",1422503.957
"TCGA-E2-A14V","TCGA-E2-A14V",1097844.067
"TCGA-E2-A14X","TCGA-E2-A14X",961903.165
"TCGA-E2-A14Y","TCGA-E2-A14Y",646097.709
"TCGA-E2-A14Z","TCGA-E2-A14Z",1374326.723
"TCGA-E2-A150","TCGA-E2-A150",1923767.159
"TCGA-E2-A152","TCGA-E2-A152",1836767.681
"TCGA-E2-A153","TCGA-E2-A153",553611.912
"TCGA-E2-A154","TCGA-E2-A154",1093924.638
"TCGA-E2-A155","TCGA-E2-A155",637436.384
"TCGA-E2-A156","TCGA-E2-A156",139173.807
"TCGA-E2-A158","TCGA-E2-A158",1375600.252
"TCGA-E2-A159","TCGA-E2-A159",1005186.89
"TCGA-E2-A15A","TCGA-E2-A15A",1372740.447
"TCGA-E2-A15C","TCGA-E2-A15C",389063.033
"TCGA-E2-A15D","TCGA-E2-A15D",638567.384
"TCGA-E2-A15E","TCGA-E2-A15E",868221.79
"TCGA-E2-A15F","TCGA-E2-A15F",701827.956
"TCGA-E2-A15G","TCGA-E2-A15G",219277.659
"TCGA-E2-A15H","TCGA-E2-A15H",538214.094
"TCGA-E2-A15I","TCGA-E2-A15I",432635.318
"TCGA-E2-A15J","TCGA-E2-A15J",312246.727
"TCGA-E2-A15K","TCGA-E2-A15K",559598.806
"TCGA-E2-A15L","TCGA-E2-A15L",330568.219
"TCGA-E2-A15M","TCGA-E2-A15M",793707.943
"TCGA-E2-A15O","TCGA-E2-A15O",851391.913
"TCGA-E2-A15P","TCGA-E2-A15P",558867.402
"TCGA-E2-A15R","TCGA-E2-A15R",1028207.449
"TCGA-E2-A15S","TCGA-E2-A15S",1335154.542
"TCGA-E2-A15T","TCGA-E2-A15T",469405.13
"TCGA-E2-A1AZ","TCGA-E2-A1AZ",755247.656
"TCGA-E2-A1B0","TCGA-E2-A1B0",673833.325
"TCGA-E2-A1B1","TCGA-E2-A1B1",77908.287
"TCGA-E2-A1B4","TCGA-E2-A1B4",87179.304
"TCGA-E2-A1B5","TCGA-E2-A1B5",84312.492
"TCGA-E2-A1B6","TCGA-E2-A1B6",547.593
"TCGA-E2-A1BC","TCGA-E2-A1BC",397356.616
"TCGA-E2-A1BD","TCGA-E2-A1BD",1324303.968
